experiment_tag,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
0_0,23.240313081,9.418241157803848,2.6114937405425174,0.1655141096278083,0.0,True,0.0349677233125302,0.0,1,6,0.0,0.3977541214099121,0.1165695646263751,0.1808844164623537,0.6050989553216282,0.8274940823983987,0.5460648489974737
0_1,21.608138667000002,9.408532718983787,2.2913936846731393,1.8799122383461013,0.0,True,0.050385607637415224,0.0,0,2,0.5025148527209303,0.4283866447297704,0.12237949418065869,0.23173860406259858,0.6768903661073529,0.7754181636647849,0.8378132903207788
0_2,22.607657755999995,9.93602142712968,2.7590907639034383,1.8519033584162718,0.0,True,0.014837543958660847,0.0,0,2,0.5023923945777776,0.43334711748648524,0.12428743411743773,0.6921883321240808,2.4363449207915657,1.1541354220999693,1.1559080176624068
0_3,21.789775795,9.391975754917125,1.1845753974638509,0.18698087518007478,0.0,True,0.09305680387970754,0.0,2,1,0.49522217715909095,0.4232628320704854,0.0658591084627068,0.5331208546804811,1.8778149396200912,0.7411990808493641,0.5753436067197977
0_4,22.957718148,9.873155451943255,2.7327615019205815,1.4194915246031796,0.0,True,0.009730686246671465,0.0,1,2,0.4990808293043479,0.4286092932202079,0.11548609174821747,0.46307403930847024,1.7844148129532567,0.9833645209007769,0.9542229059933945
0_5,22.530146526,9.83758987524203,2.6180482572543275,1.606579526041234,0.0,True,0.022602538406966292,0.0,1,2,0.5006699228,0.43049383211937536,0.11968867198636929,0.2542381520789522,0.6237058562280401,1.0329945779091756,1.1083816489026541
0_6,22.60004335,9.84608025017698,2.6525727656104503,1.6912423199776172,0.0,True,0.039735107238357506,0.0,0,2,0.5022231855555556,0.4327854212835414,0.11774596702966199,0.4756037419262233,1.7457853740058211,1.0541029054880457,1.0706475818082155
0_7,20.599819920999995,9.330431542487467,1.1012655060688865,0.19923836205884443,0.0,True,0.0677169330645745,0.0,1,0,0.502434632219512,0.45221604883883243,0.05582341719004543,0.21288186291139138,0.7916311605805689,0.7360227944539383,0.5230235946241499
0_8,22.057785792,9.499600835442148,2.27244622157497,1.382648697541773,0.0,True,0.029859448165771886,0.0,1,2,0.0,0.4286698967089911,0.1061909949116373,0.22643769262446337,0.5711722774861883,1.0208936652283873,1.0912873809874961
0_9,21.959896075,9.804185057971683,2.669865965378327,1.7669014588034804,0.0,True,0.03352612042930076,0.0,0,2,0.0,0.4318733088853583,0.12355312357713986,0.1743323619179409,0.5512156301425098,1.0764509435480232,1.1486484000230728
0_10,23.056371193,9.626440552098522,2.4846361574110727,1.5631077743716908,0.0,True,0.018778082649432357,0.0,0,2,0.5012254607173913,0.4124033591166014,0.1003908206905381,0.19007806629300703,0.6467548386999296,1.060289600779725,1.0884671013437566
0_11,22.342390806999994,9.522355101205411,2.456163734233902,1.4065007791611617,0.0,True,0.01819297024860006,0.0,0,3,0.49649757348888873,0.41933950753143695,0.11051309864443784,0.3545976364690858,1.3067734895230814,1.0688990263649405,1.102768608814024
