timestamp,robot_x,robot_y,robot_wp,robot_orientation_z,robot_orientation_w,robot_linear_velocity_x,robot_linear_velocity_y,robot_speed,robot_angular_velocity_z,robot_linear_acceleration_x,robot_linear_acceleration_y,robot_acceleration,worker1_x,worker1_y,worker1_wp,worker1_orientation_z,worker1_orientation_w,worker1_linear_velocity_x,worker1_linear_velocity_y,worker1_speed,worker1_angular_velocity_z,worker2_x,worker2_y,worker2_wp,worker2_orientation_z,worker2_orientation_w,worker2_linear_velocity_x,worker2_linear_velocity_y,worker2_speed,worker2_angular_velocity_z,cumulative_heading_changes,distance_to_closest_person,completed,robot_on_person_collision,person_on_robot_collision,time_not_moving,robot_linear_speed,robot_angular_speed,robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
0.0,5.800000274412005,2.100000130691676,A9,-0.9999911744009741,0.004201323506937883,-5.510059081258937e-08,-2.0881321922412834e-09,5.514014330729186e-08,-3.172777065092163e-11,-3.150014056714583e-06,1.9458241174533075e-05,1.971156356466411e-05,1.75,9.8,E1,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,6.8,G4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.793208999461701,False,0,0,0,5.514014330729186e-08,-3.172777065092163e-11,0.0,0.0,0.0
0.510276265,5.593007579016214,2.098260781376959,A9,-0.9999911744013248,0.004201323423142863,0.5000001665000526,3.646843310840808e-08,0.500000166500054,-4.378876149335835e-10,-2.9548931339357557e-06,1.8863163210254792e-05,1.909320087700568e-05,1.6930206763683062,9.340562264902127,E1,-0.7162850205591336,0.697807831227625,-0.03161106661896618,-1.2094204563390498,1.2098335008356085,-0.6889438629150391,-0.033055690011388764,6.149836469546862,G5,-0.6891962499200123,0.7245747229211021,0.06435650819308976,-1.285079808422891,1.2866902790349437,-1.4920353889465332,1.6759127419163633e-10,6.183098402883878,False,0,0,0,0.500000166500054,-4.378876149335835e-10,1.2118194203260263e-06,1.248261889935276,1.2866902790349437
1.01081053,5.34601548862436,2.0967469952735387,A9,-0.9999997555773409,-0.0006991740193123082,0.49999165994597067,0.0002454618507792929,0.49999172019849225,-0.0395202409481098,-0.01975867335107257,-0.0004433670214046802,0.019763647105482698,1.6367779617371825,9.039570626135495,E2,-0.8104010127328469,0.585875582834424,-0.17765331869189271,-0.5381107038837918,0.5666778902309081,-1.5432333946228027,0.025127425912510232,5.750428089157042,G5,-0.6639855097235944,0.747745439890541,0.1604181769796827,-1.3471249189192314,1.3566427454118606,-0.2922987937927246,0.009801019718402415,5.704551519022155,False,0,0,0,0.49999172019849225,-0.0395202409481098,0.0394469575516587,0.9616603178213843,1.3566427454118606
1.5202978370000002,5.096019569870668,2.097982404035069,B9,-0.9999963151863555,-0.0027147030708056566,0.500000378271756,5.627713916059318e-08,0.5000003782717592,-8.987555169454284e-10,-2.955066534620061e-06,1.8846744105424882e-05,1.9077006620520918e-05,1.6632572458353703,8.47614577616106,E2,-0.7118131688204306,0.7023688580039816,-0.018021731267010566,-1.3492217866382106,1.3493421405770536,-0.41604042053222656,0.033387088759644475,5.195790631207396,G6,-0.7305213740779455,0.682889831536003,0.0,0.0,0.0,0.0,0.00403106465785541,5.185205426195197,False,0,0,0,0.5000003782717592,-8.987555169454284e-10,0.03875380176814135,0.6746710702885268,0.0
2.030139868,4.8460238903822175,2.099362344819618,B9,-0.9999925471457376,-0.003860783862285305,0.4999916586588941,0.0002454617035082449,0.49999171891134353,-0.039520240947655244,-0.01976741476717299,-0.0004461677525163995,0.019772449323258723,1.4839411710797263,8.022245769632953,E3,-0.8917413297353243,0.45254546825913045,-0.47101431689603457,-0.7822254076022972,0.9130887552804591,0.895645022392273,0.03531936035021498,4.300218237155316,G7,-0.7550975465323835,0.6556124581036994,-0.2105168875717603,-1.4851540795645057,1.4999999999999984,-0.5748593807220459,0.002292174096799382,4.540240517604015,False,0,0,0,0.49999171891134353,-0.039520240947655244,0.03874410330175036,1.2065443776402287,1.4999999999999984
2.539980729,4.593570356675079,2.103737402443737,B9,-0.9999042335143725,-0.013839212372251521,0.4999913950445395,0.00014750122421307646,0.4999914168015246,-0.03952024143933297,-0.019755474033179975,-0.0004448239335680685,0.019760481335421038,1.3031018166620996,7.589268610965796,E3,-0.8917632516545567,0.45250226850093433,-0.6552067033249465,-0.503136523844443,0.8261005905506993,-2.8427663445472717,0.023521572534759845,3.700803248687709,G7,-0.7316666336777156,0.68166262708375,-0.10600827208678949,-1.4962493930655985,1.4999999999999993,-0.31285881996154785,0.01995772142633001,4.091070667389745,False,0,0,0,0.4999914168015246,-0.03952024143933297,2.347396757139244e-05,1.1630502952753492,1.4999999999999993
3.040116988,4.347209022810605,2.111940360799457,B9,-0.9998497145900597,-0.017336326982064405,0.5000003008403234,5.3999588720682334e-08,0.5000003008403263,-7.207277560145577e-10,-2.9546831852397147e-06,1.8812023205219666e-05,1.904264608185694e-05,1.050940035116863,7.572649515473403,F3,-0.998743708582168,0.05010992484066835,0.0,0.0,0.0,0.0,-0.03531504095201796,3.1178866379498285,G8,-0.7344679708025711,0.6786433524798968,0.021515277861497636,-1.4366432461093526,1.4368043442908556,0.9394335746765137,0.006995082666390928,3.7464925310703174,False,0,0,0,0.5000003008403263,-7.207277560145577e-10,0.039472120515339756,0.7184021721454278,1.4368043442908556
3.550053485,4.097859000545588,2.1205898670535244,C9,-0.9998497145886182,-0.017336327065174146,0.5000002287578494,4.742711430527624e-08,0.5000002287578518,-5.903887953925456e-10,-2.954681926081403e-06,1.8812017071272343e-05,1.9042639826824276e-05,0.9706481740049723,7.0814409951752015,F4,-0.7968846950180953,0.6041314284540387,0.0,0.0,0.0,0.0,-0.034559207751658376,2.397076234271627,G9,-0.7184626747990837,0.6955655144704531,-0.047044954000323366,-1.4522632866650653,1.4530250794436104,-0.2815127372741699,1.6624479570737094e-10,3.3916572720982225,False,0,0,0,0.5000002287578518,-5.903887953925456e-10,1.2266297278439471e-11,0.7265125397218052,1.4530250794436104
4.060030099,3.8470098795620897,2.129291374311088,C9,-0.9998497145871649,-0.017336327149039966,0.50000033825848,5.6594700648116e-08,0.5000003382584832,-8.224472158935043e-10,-2.954667373435601e-06,1.881201791415593e-05,1.9042638401497005e-05,0.8990911770254544,6.53104981518023,F4,-0.7566958719626213,0.6537670512917642,-0.20272298012245504,-1.381588909270688,1.3963826556103804,-0.12547731399536133,0.39097126561315854,2.2511351019408643,F9,-0.24732118936502082,0.9689335525674976,1.406635253959334,-0.5209388278087568,1.5000000000000007,1.4514674991369225,1.6775647537770055e-10,2.7081857664198385,False,0,0,0,0.5000003382584832,-8.224472158935043e-10,2.794887512662523e-12,1.4481913278051906,1.5000000000000007
4.560300346999999,3.601157752990505,2.1378195447710717,C9,-0.9998497145857378,-0.01733632723140747,0.5000003205311916,5.422983573658002e-08,0.5000003205311946,-9.5096428425925e-10,-2.9546752767142994e-06,1.881201656730482e-05,1.9042638297236486e-05,0.8495343982416181,6.089383069664741,F5,-0.7184125490807541,0.695617286532827,-0.030732198440038827,-0.9529391463807002,0.953434572860527,0.00536799430847168,1.1192442707041819,2.1410787756519234,F9,-0.049418097893287716,0.9987781793774879,1.4552151047988149,-0.14435727810545362,1.4623576939232894,0.009868443012237549,1.6475976138963233e-10,1.731915622284641,False,0,0,0,0.5000003205311946,-9.5096428425925e-10,2.084083956152987e-13,1.2078961333919083,1.4623576939232894
