requirement,route,dtw
jerk,route_1,15.925756982281627
jerk,route_2,25.89303664841311
jerk,route_3,13.228171626475069
jerk,route_4,19.36542692378089
jerk,route_5,20.450170296801492
distance,route_1,14.085453090930484
distance,route_2,35.406696180690204
distance,route_3,10.621358108593284
distance,route_4,12.558692741744617
distance,route_5,35.105732588540434
reach,route_1,10.34077281765088
reach,route_2,12.724099105873943
reach,route_3,11.713548748795409
reach,route_4,16.166054225044697
reach,route_5,14.747909489039719
