requirement,route,algorithm,experiment_tag,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
distance,route_1,best_scenario,0_0,21.04990975000001,8.499678602705986,2.647167555158306,0.011721956267007,0.0,True,0.3200807096063883,0.3203750155605947,27,6,0.5011883273809525,0.4004135209461018,0.1411246903310326,0.6568012226426293,2.5087880541711174,0.589950069657715,0.6065457786496423
distance,route_1,best_scenario,0_1,21.030159518,8.509891149853841,3.861509112982407,0.0678589710606698,0.0,True,0.3724225680522713,0.3724225680522713,9,10,0.5007180837619047,0.3952245211656578,0.1803726103619126,0.3217034914673004,0.6158355051414492,0.6015723271369239,0.6989156164556564
distance,route_1,best_scenario,0_2,20.10885067699999,8.455264604752664,1.9179645544547264,0.2247295315118554,0.0,True,0.3564222024961874,0.3567585982134472,0,0,0.5027212669249997,0.4136847638089223,0.0957375617104762,0.4967916274058693,1.8955424244287409,0.5941980893436467,0.624102613485706
distance,route_1,best_scenario,0_3,24.820369364999998,9.089457907474904,6.264894835150684,1.3979224202648548,0.0,True,0.3080177556894153,0.3086651147438726,0,9,0.0,0.3550813378203534,0.2554483320081763,0.1868384929098055,0.5276870382948244,1.0514886495014162,0.9279214001588316
distance,route_1,best_scenario,0_4,19.980231372,8.43030955827361,1.8479410225961197,0.2462952178894959,0.0,True,0.3541795753179094,0.3544538932519315,1,0,0.4995057843,0.4167310907156812,0.0967490850748515,0.6839952677195532,0.7789524956280518,0.5598414141739697,0.5989397088866732
distance,route_1,best_scenario,0_5,20.279825842999998,8.487948352574374,1.8692675644855856,0.1489240744525038,0.0,True,0.3155192230543422,0.3157644757907546,1,6,0.0,0.4090094621666307,0.0919525252432452,0.513268290121785,1.8536064261306997,0.6117816847934269,0.551519204452509
distance,route_1,best_scenario,0_6,20.550066181999995,8.48320751225081,2.438495508245147,0.0131302094491149,0.0,True,0.2253435337347408,0.0,31,7,0.0,0.4091660780318261,0.1237148424447153,0.7302383145283179,0.8594482295676852,0.5850171176777392,0.5965285252107734
distance,route_1,best_scenario,0_7,19.958457217,8.480209685590134,1.8350536346089013,0.2023882730154758,0.0,True,0.3232725579446129,0.3235689414743729,0,0,0.4989614304249999,0.4162514916403677,0.0893145490232401,0.4247389016079925,1.641920821726868,0.5849942192953376,0.6022236680254857
distance,route_1,best_scenario,0_8,19.639983038,8.466494951109622,1.8645136790254608,0.1283930849976154,0.0,True,0.3275349476310257,0.3277073477100901,2,0,0.5035893086666666,0.425336507965785,0.0958271833325607,0.1890223842045815,0.4861016828754033,0.5752107194173499,0.5761829404646645
distance,route_1,best_scenario,0_9,20.108160687,8.434577331109349,1.9067458291469528,0.2380792990077568,0.0,True,0.3483260224143406,0.3486554810801534,0,0,0.0,0.4114395738038947,0.1053583885718863,0.0962840009824324,0.295666445629743,0.5573639460144668,0.5878028236619515
