requirement,route,time_to_reach_goal_p,time_to_reach_goal_p_sign,time_to_reach_goal_a12,time_to_reach_goal_a12_sign,path_length_p,path_length_p_sign,path_length_a12,path_length_a12_sign,cumulative_heading_changes_p,cumulative_heading_changes_p_sign,cumulative_heading_changes_a12,cumulative_heading_changes_a12_sign,avg_distance_to_closest_person_p,avg_distance_to_closest_person_p_sign,avg_distance_to_closest_person_a12,avg_distance_to_closest_person_a12_sign,minimum_distance_to_people_p,minimum_distance_to_people_p_sign,minimum_distance_to_people_a12,minimum_distance_to_people_a12_sign,minimum_distance_to_target_p,minimum_distance_to_target_p_sign,minimum_distance_to_target_a12,minimum_distance_to_target_a12_sign,final_distance_to_target_p,final_distance_to_target_p_sign,final_distance_to_target_a12,final_distance_to_target_a12_sign,robot_on_person_collision_p,robot_on_person_collision_p_sign,robot_on_person_collision_a12,robot_on_person_collision_a12_sign,person_on_robot_collision_p,person_on_robot_collision_p_sign,person_on_robot_collision_a12,person_on_robot_collision_a12_sign,time_not_moving_p,time_not_moving_p_sign,time_not_moving_a12,time_not_moving_a12_sign,avg_robot_linear_speed_p,avg_robot_linear_speed_p_sign,avg_robot_linear_speed_a12,avg_robot_linear_speed_a12_sign,avg_robot_angular_speed_p,avg_robot_angular_speed_p_sign,avg_robot_angular_speed_a12,avg_robot_angular_speed_a12_sign,avg_robot_acceleration_p,avg_robot_acceleration_p_sign,avg_robot_acceleration_a12,avg_robot_acceleration_a12_sign,avg_robot_jerk_p,avg_robot_jerk_p_sign,avg_robot_jerk_a12,avg_robot_jerk_a12_sign,avg_pedestrian_velocity_p,avg_pedestrian_velocity_p_sign,avg_pedestrian_velocity_a12,avg_pedestrian_velocity_a12_sign,avg_closest_pedestrian_velocity_p,avg_closest_pedestrian_velocity_p_sign,avg_closest_pedestrian_velocity_a12,avg_closest_pedestrian_velocity_a12_sign
jerk,route_1,0.1668661704632597,>=0.05,0.6044444444444445,small,0.9941019213254952,>=0.05,0.4988888888888889,no,0.0011737583520143354,<0.01,0.25555555555555554,large,0.0002680570968049172,<0.01,0.7744444444444445,large,1.0,>=0.05,0.5,no,0.009468269708615267,<0.01,0.30444444444444446,medium,0.009468269708615267,<0.01,0.30444444444444446,medium,0.6680725304730013,>=0.05,0.5222222222222223,no,0.258552002460708,>=0.05,0.42333333333333334,small,0.4173284415933086,>=0.05,0.44166666666666665,small,0.013271804739910291,<0.05,0.31333333333333335,medium,0.006097142345173947,<0.01,0.29333333333333333,medium,0.6100075520376812,>=0.05,0.46111111111111114,no,0.7844597689495465,>=0.05,0.47888888888888886,no,0.5395103167994048,>=0.05,0.4533333333333333,no,0.2837780479456242,>=0.05,0.41888888888888887,small
jerk,route_2,0.6308762921617199,>=0.05,0.5366666666666666,no,0.5692201637415295,>=0.05,0.45666666666666667,no,0.016954880587293254,<0.05,0.68,medium,6.765008246371499e-05,<0.01,0.2,large,1.0,>=0.05,0.5,no,0.004225917731378622,<0.01,0.7155555555555555,large,0.041926167596850805,<0.05,0.5666666666666667,small,0.012733911689824486,<0.05,0.6605555555555556,medium,4.708488434167661e-06,<0.01,0.8361111111111111,large,0.12203132633182118,>=0.05,0.3933333333333333,small,0.4825169043645008,>=0.05,0.44666666666666666,no,0.03778201789416722,<0.05,0.6566666666666666,medium,0.14531912724086543,>=0.05,0.61,small,0.36322231255273874,>=0.05,0.5688888888888889,small,0.43764133504824576,>=0.05,0.4411111111111111,small,0.0772719759293395,>=0.05,0.36666666666666664,small
jerk,route_3,1.9962775390084076e-05,<0.01,0.8211111111111111,large,1.8730978430511631e-07,<0.01,0.8922222222222222,large,3.2555395233551233e-07,<0.01,0.8844444444444445,large,2.15403414258883e-06,<0.01,0.14333333333333334,large,3.45263236009729e-07,<0.01,0.18333333333333332,large,0.2339889162810581,>=0.05,0.41,small,0.18726225474126235,>=0.05,0.4011111111111111,small,0.49435229310862605,>=0.05,0.5411111111111111,no,4.112285802498756e-09,<0.01,0.9233333333333333,large,0.44838566004440283,>=0.05,0.5561111111111111,small,0.006972441494570254,<0.01,0.2966666666666667,medium,4.420496863208284e-06,<0.01,0.8455555555555555,large,0.009468269708615267,<0.01,0.6955555555555556,medium,0.03513659994217983,<0.05,0.6588888888888889,medium,1.7294093690511436e-07,<0.01,0.8933333333333333,large,0.00012477053789099933,<0.01,0.7888888888888889,large
jerk,route_4,1.1566543205869282e-07,<0.01,0.8988888888888888,large,1.77690788708274e-10,<0.01,0.98,large,3.019859359162157e-11,<0.01,1.0,large,3.019859359162157e-11,<0.01,0.0,large,1.0,>=0.05,0.5,no,0.4289633888604326,>=0.05,0.44,small,0.4289633888604326,>=0.05,0.44,small,0.07390651541590765,>=0.05,0.62,small,0.0002906612913018266,<0.01,0.7644444444444445,large,0.7911308944179526,>=0.05,0.4811111111111111,no,9.513937913202741e-06,<0.01,0.16666666666666666,large,3.019859359162157e-11,<0.01,1.0,large,6.765008246371499e-05,<0.01,0.8,large,0.0003988101938466105,<0.01,0.7666666666666667,large,3.1967402228021653e-09,<0.01,0.05444444444444444,large,3.6897258539809896e-11,<0.01,0.0022222222222222222,large
jerk,route_5,0.0030339475794426483,<0.01,0.7233333333333334,large,0.00035638379914234935,<0.01,0.7688888888888888,large,0.006097142345173947,<0.01,0.7066666666666667,medium,6.526139960801125e-07,<0.01,0.12555555555555556,large,1.2117803970059759e-12,<0.01,0.0,large,0.2170168245486217,>=0.05,0.4066666666666667,small,0.2170168245486217,>=0.05,0.4066666666666667,small,0.021498130968659015,<0.05,0.5833333333333334,small,3.338729130279342e-11,<0.01,0.9333333333333333,large,0.931877427885424,>=0.05,0.49444444444444446,no,0.005569938587360544,<0.01,0.2911111111111111,medium,0.04675584239277178,<0.05,0.65,medium,0.24581380245894136,>=0.05,0.5877777777777777,small,0.20620548705301323,>=0.05,0.5955555555555555,small,7.694963560950099e-08,<0.01,0.9044444444444445,large,3.368139881244577e-05,<0.01,0.8122222222222222,large
distance,route_1,0.061451911011256986,>=0.05,0.35888888888888887,medium,0.1536672354850899,>=0.05,0.39222222222222225,small,0.09334079652708835,>=0.05,0.37333333333333335,small,2.154399276691175e-10,<0.01,0.022222222222222223,large,0.011035086336935339,<0.05,0.4,small,0.7393988193114496,>=0.05,0.47444444444444445,no,0.7392766225060015,>=0.05,0.47444444444444445,no,0.06745392357992172,>=0.05,0.6233333333333333,small,0.34399756903750855,>=0.05,0.43,small,0.6215999901644562,>=0.05,0.5361111111111111,no,0.14944870623046316,>=0.05,0.6088888888888889,small,0.05368525328679823,>=0.05,0.35444444444444445,medium,0.022360148062659704,<0.05,0.3277777777777778,medium,0.0066688764888895,<0.01,0.29555555555555557,medium,3.8201597819993253e-10,<0.01,0.028888888888888888,large,1.77690788708274e-10,<0.01,0.02,large
distance,route_2,0.09626283103615173,>=0.05,0.37444444444444447,small,0.0010035319761388477,<0.01,0.7477777777777778,large,0.501143667603293,>=0.05,0.5511111111111111,no,8.101362326146452e-10,<0.01,0.03777777777777778,large,1.0,>=0.05,0.5,no,0.0772719759293395,>=0.05,0.36666666666666664,small,0.33371069574356604,>=0.05,0.48333333333333334,no,0.02921422573838015,<0.05,0.3516666666666667,medium,0.020109982952030876,<0.05,0.3277777777777778,medium,0.4403050294323718,>=0.05,0.5566666666666666,small,0.0002388484570697063,<0.01,0.7766666666666666,large,0.8766349003139949,>=0.05,0.5122222222222222,no,0.3710770321265142,>=0.05,0.5677777777777778,small,0.4289633888604326,>=0.05,0.56,small,0.0007295106100696473,<0.01,0.7544444444444445,large,0.07012659407128821,>=0.05,0.6366666666666667,small
distance,route_3,0.37903631077393585,>=0.05,0.5666666666666667,small,4.420496863208284e-06,<0.01,0.8455555555555555,large,3.520057626068007e-07,<0.01,0.8833333333333333,large,0.0006548646168546143,<0.01,0.24333333333333335,large,1.0,>=0.05,0.5,no,0.641423522520332,>=0.05,0.5355555555555556,no,0.6306102573572756,>=0.05,0.5366666666666666,no,0.7717901260201829,>=0.05,0.4777777777777778,no,0.1842804067604359,>=0.05,0.5994444444444444,small,0.04143265678656083,<0.05,0.6466666666666666,medium,7.658787390218044e-05,<0.01,0.7977777777777778,large,2.87897208006701e-06,<0.01,0.8522222222222222,large,0.2339889162810581,>=0.05,0.59,small,0.2904721494938346,>=0.05,0.58,small,0.0156381195256908,<0.05,0.31777777777777777,medium,0.09626283103615173,>=0.05,0.37444444444444447,small
distance,route_4,1.7294093690511436e-07,<0.01,0.8933333333333333,large,1.5580751206267116e-08,<0.01,0.9255555555555556,large,1.6979526017102318e-08,<0.01,0.9244444444444444,large,3.019859359162157e-11,<0.01,0.0,large,1.2117803970059759e-12,<0.01,0.0,large,0.1579756891505133,>=0.05,0.6066666666666667,small,0.1579756891505133,>=0.05,0.6066666666666667,small,3.305627182079703e-07,<0.01,0.8166666666666667,large,1.104615922693395e-12,<0.01,1.0,large,0.8867074873402332,>=0.05,0.4911111111111111,no,6.526139960801125e-07,<0.01,0.12555555555555556,large,1.8730978430511631e-07,<0.01,0.8922222222222222,large,0.014412183349875863,<0.05,0.6844444444444444,medium,0.01988307641391072,<0.05,0.6755555555555556,medium,1.2860392091779297e-06,<0.01,0.13555555555555557,large,2.8314487598396363e-08,<0.01,0.08222222222222222,large
distance,route_5,0.5105979366056446,>=0.05,0.45,no,0.24581380245894136,>=0.05,0.4122222222222222,small,0.0635326507348074,>=0.05,0.36,medium,0.05368525328679823,>=0.05,0.35444444444444445,medium,1.0,>=0.05,0.5,no,0.47334655725844954,>=0.05,0.44555555555555554,no,0.47334655725844954,>=0.05,0.44555555555555554,no,0.3950955990389574,>=0.05,0.5627777777777778,small,0.006538823737036528,<0.01,0.3061111111111111,medium,0.39529059248311116,>=0.05,0.5588888888888889,small,0.07244559577423665,>=0.05,0.6355555555555555,small,0.04675584239277178,<0.05,0.35,medium,0.9469559422255942,>=0.05,0.49444444444444446,no,0.38709977767912396,>=0.05,0.43444444444444447,small,0.22257289646656508,>=0.05,0.4077777777777778,small,0.9823070530800847,>=0.05,0.5022222222222222,no
