requirement,algorithm,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
distance,best_scenario,1.0138100671608723,0.16027223322232395,0.9208011915510891,0.7756898209079723,0.0,0.11982917193929674,0.13653377686202606,5.578542248941072,2.7590508589461367,0.27690742311467054,0.014995449573627528,0.03648858875429782,0.18138071827172147,1.8343702205206784,0.15031079348070403,0.17381299582383097
distance,worst_scenario,0.8574177552530274,0.09734137431858622,0.6933099431614288,0.6555989550963026,0.043142509011739584,0.10497107639520384,0.13403586176898638,2.7338710397695882,1.9824958744451897,0.2975755544351181,0.013946867771908743,0.030703016898578867,0.16635830832187443,1.4448196879067474,0.11709353144305894,0.15285545427676075
jerk,best_scenario,0.9431763713569146,0.3230245953141501,0.6248116614483068,0.49615518309299694,0.0,0.24400962051575234,0.26724667821852977,1.1496329378918975,1.7464428832261334,0.7119673223037545,0.020541033947058515,0.026328970858706023,0.17683032515011224,2.296247149232228,0.10731637790971801,0.1587407397060897
jerk,worst_scenario,0.3813124987651039,0.06501143012996632,0.231830925207064,0.4935373970179219,0.0969655525357408,0.029102234063374983,0.04069060768815459,0.3920518318092711,0.6423925139801417,0.2635383797021937,0.0069965342795458435,0.012740169554023049,0.10878753699267588,0.9018978369029037,0.11441452100256569,0.14735768800251395
reach,best_scenario,1.0409493796523988,0.151256768837934,0.7367212997410703,0.31450015630281963,0.08796508479032294,0.04170417231795978,0.05952233487751983,1.7774528992498173,2.53740167292021,0.2657543361063078,0.015133257497252708,0.02865992368445704,0.14142620376091303,0.5840304473892945,0.1271796638483899,0.12381222712913675
reach,worst_scenario,0.5937040490653592,0.053080195853989,0.2940781039225535,0.3753853556091359,0.15312699622525752,0.03420507904835786,0.04460004811735593,1.6110832385748033,0.9282222819403853,0.2523788839688394,0.009960075435348877,0.013729440300174468,0.1480748214270588,0.808938147912986,0.10856488673610709,0.11625872801723713
