requirement,algorithm,route,dtw
jerk,best_scenario,route_1,10.981815289663611
jerk,best_scenario,route_2,16.28589183983991
jerk,best_scenario,route_3,16.282226119666028
jerk,best_scenario,route_4,19.859169758554795
jerk,best_scenario,route_5,25.041762804973697
jerk,worst_scenario,route_1,15.925756982281627
jerk,worst_scenario,route_2,25.89303664841311
jerk,worst_scenario,route_3,13.228171626475069
jerk,worst_scenario,route_4,19.36542692378089
jerk,worst_scenario,route_5,20.450170296801492
distance,best_scenario,route_1,9.939216587915055
distance,best_scenario,route_2,18.565475379737638
distance,best_scenario,route_3,19.881707298420036
distance,best_scenario,route_4,22.08616396193207
distance,best_scenario,route_5,39.860179134101294
distance,worst_scenario,route_1,14.085453090930484
distance,worst_scenario,route_2,35.406696180690204
distance,worst_scenario,route_3,10.621358108593284
distance,worst_scenario,route_4,12.558692741744617
distance,worst_scenario,route_5,35.105732588540434
reach,best_scenario,route_1,19.305708991114177
reach,best_scenario,route_2,24.912119085243557
reach,best_scenario,route_3,16.566955292938765
reach,best_scenario,route_4,22.285508604437943
reach,best_scenario,route_5,24.723972957338106
reach,worst_scenario,route_1,10.34077281765088
reach,worst_scenario,route_2,12.724099105873943
reach,worst_scenario,route_3,11.713548748795409
reach,worst_scenario,route_4,16.166054225044697
reach,worst_scenario,route_5,14.747909489039719
