requirement,algorithm,dtw
distance,best_scenario,22.066548472421218
distance,worst_scenario,21.555586542099803
jerk,best_scenario,17.690173162539608
jerk,worst_scenario,18.97251249555044
reach,best_scenario,21.55885298621451
reach,worst_scenario,13.138476877280928
