experiment_tag,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
0_0,35.02123476400001,14.484985864164816,4.441752039340267,0.363595584146518,0.0,False,0.5556408021546962,0.5556408021546962,2,17,0.0,0.4247444240341581,0.1341303216895567,0.2336498014244646,0.7979216938229582,0.8273051600815746,0.7580195575053132
0_1,31.697944566000004,14.474037140599862,1.563909122589115,0.7831577653849874,0.08144961514138682,True,0.4014871624016581,0.4014871624016581,0,0,0.5031419772380953,0.44686629474306827,0.050415893304940305,0.13907320958370298,0.5132258820119668,0.7864851570619122,0.8551512718909295
0_2,31.356981785999995,14.478979315931024,2.499551372756771,0.7091128494180216,0.0,True,0.35526201872338486,0.35526201872338486,1,1,0.0,0.4572928239464286,0.0959761865284526,0.1297773020003056,0.42276138333891133,0.8079759049428682,0.7871600305761375
0_3,33.699977962,14.44798363259115,3.2377793706212348,0.4403728715881255,0.0,True,0.44267573332618715,0.44267573332618715,3,6,0.0,0.42224592320877696,0.10383559756241095,0.2332930787142213,0.7098545606352807,0.9336240309777537,0.9543041731885105
0_4,33.679947794,14.85696372098212,2.839897307932412,0.7678372384054301,0.0,True,0.37024226921009074,0.37024226921009074,0,10,0.5026857879701493,0.43576464551057925,0.08567011671611702,0.2924875024418143,0.928283215187071,1.0141571687164659,1.0006167498596696
0_5,33.27997966699999,14.508320132570176,2.441811071283608,0.5400682539346028,0.0,True,0.37323857667364096,0.37323857667364096,1,7,0.5042421161666666,0.4331498754121567,0.07592322186785656,0.16563379019089428,0.5827698742842693,0.972694473668645,0.9391523332639617
0_6,31.42953103300001,14.524249264665725,2.339638161904191,0.29229991281632517,0.0,True,0.3555311907644367,0.3555311907644367,3,1,0.0,0.4522006122068635,0.08665747375392943,0.035904451781792426,0.050438102710796094,0.721957191672288,0.6490734694726482
0_7,31.010029704999997,14.39882388944562,1.3362638777497158,0.37774513506294366,0.0,True,0.3590826641299812,0.3590826641299812,1,1,0.0,0.45728881305401853,0.04118517117926181,0.03733795904385796,0.10151238665289382,0.6376288244028095,0.6361957025279872
0_8,33.040642428,14.51078140099633,2.1010592632860594,0.3376920946169612,0.0,True,0.36341527019452585,0.36341527019452585,4,2,0.5006157943636363,0.4276571082533572,0.06791650310654365,0.11481888574266821,0.5745216734091383,0.8658018476006373,0.8371568927448353
0_9,31.60004763499999,14.461468950379166,1.7633085620952325,1.005504305079241,0.03178421966786393,True,0.37793940554988525,0.37793940554988525,0,0,0.0,0.4470754234704571,0.06173000419915178,0.4081405540965252,1.5747530150174416,0.7257704608637843,0.8440513794973399
0_10,33.74916649200001,14.512481537952496,2.2394879335963345,0.5502738354065198,0.0,True,0.4162433119617425,0.4162433119617425,2,7,0.0,0.4302714457301675,0.07498449686449953,0.24559553115102256,0.537187002081052,0.9901365653236285,1.002498043703397
0_11,31.709989032999996,14.569488312405037,1.7515366681527418,0.9977331738636159,0.0,True,0.3404259029573763,0.3404259029573763,2,0,0.0,0.4601172508548997,0.06827405195270501,0.19618917479261774,0.7706262936236319,0.7665288802685877,0.7192639944860932
0_12,32.838162306,14.447323172420182,2.214318717569979,0.4975126862741853,0.0,True,0.38105963025642786,0.38105963025642786,5,6,0.5052024970153847,0.4363151138433326,0.0801746030617924,0.3917904752164946,0.8032699257015297,0.9433826631241927,0.8651824054369985
0_13,35.01289043099999,15.726865037061962,3.918971415609074,0.8676826967422596,0.0,False,0.3263678686981207,0.3263678686981207,1,11,0.0,0.4470073375058288,0.10770584872393468,0.18353027074887074,0.5961667677506982,0.9387908953940624,0.8989812768048773
0_14,31.20922084699999,14.474190493433344,1.4094144581069803,0.5645902395892629,0.0,True,0.3802119563222296,0.3802119563222296,2,0,0.5033745297903224,0.46157220419360373,0.04286194544481205,0.05842475283098397,0.1894206307444075,0.8095250821646484,0.727140161705186
0_16,32.258333206,14.56558460514784,2.0301557786328237,0.7662989473943113,0.0,True,0.3279300009618076,0.3279300009618076,1,5,0.0,0.45466266188246846,0.06917225143677797,0.29475737655556017,0.8895546086144182,0.9528137713036646,0.8957564986903507
0_17,32.740053032000006,14.531854628004035,3.103277180490676,0.7452612917902455,0.014615185766406857,True,0.3853609812932545,0.3853609812932545,0,1,0.0,0.4388007734902445,0.10020672048752717,0.3415950728882952,1.2688658937312862,0.7521563518629539,0.7788120651749904
0_18,32.278009321,14.454234547410449,1.7780890866631158,0.4569199280398329,0.0,True,0.39998503683276954,0.39998503683276954,2,6,0.504343895640625,0.4400002227759009,0.06239688043564151,0.41922334877411954,1.1623647548616567,0.7703213106149287,0.7096769031360513
0_19,33.770066949999986,14.534486345095925,3.1770852603535182,0.4723700811996243,0.0,True,0.39292275229076373,0.39292275229076373,3,8,0.0,0.42804225141683,0.09883059290000552,0.20489403870310263,0.6064234104128412,0.9888402302248928,0.9989741174151088
0_20,31.507343379000005,14.415528419889988,1.7975965617616536,0.3824170045493516,0.0,True,0.3457958155216034,0.3457958155216034,2,2,0.5001165615714287,0.4558944538017906,0.07488878892166236,0.33128288489768193,0.9151949041161701,0.6248498204385702,0.5952487266803494
