experiment_tag,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
7_0,21.630104156000005,9.308280239592497,1.5251487169085745,1.3837982818992567,0.0,True,0.023797031688593522,0.0,2,0,0.5030256780465118,0.42331000618079195,0.07432460766285136,0.4360563740019534,1.1044813601136638,1.1149245702438135,1.0573859965888053
7_1,24.587312262999994,9.776279491489898,2.902697494685136,1.8756199676474108,0.0,True,0.06308040672927356,0.0,1,2,0.0,0.40396831128517485,0.14380149197044617,0.49751415433424784,1.2605212930153267,0.8889563644608366,0.9236597982635365
7_2,21.870534754999998,9.283474098922957,1.6490270586162459,2.1303400370200483,0.0,True,0.10370820285136936,0.0,0,3,0.0,0.4134830474911493,0.08959717809889267,0.033451747004413085,0.032689008110114236,0.7683511590319848,0.969109561923069
7_3,20.738560209000003,9.365375452071751,1.728902067457737,1.9860984514423965,0.0,True,0.032396356606792166,0.0,0,2,0.0,0.43834537948940855,0.0937650335986593,0.17540756018436304,0.37610849269718927,0.8353358258065903,1.0240552261269171
7_4,20.938221517,9.363233504400581,1.848447301636992,1.3161003345373543,0.0,True,0.035191838703314784,0.0,1,0,0.49852908373809524,0.43559198922228337,0.0923918242992923,0.07105412853857868,0.15185632521145045,1.047940315284936,1.0638900241770637
