requirement,route,dtw
jerk,route_1,10.981815289663611
jerk,route_2,16.28589183983991
jerk,route_3,16.282226119666028
jerk,route_4,19.859169758554795
jerk,route_5,25.041762804973697
distance,route_1,9.939216587915055
distance,route_2,18.565475379737638
distance,route_3,19.881707298420036
distance,route_4,22.08616396193207
distance,route_5,39.860179134101294
reach,route_1,19.305708991114177
reach,route_2,24.912119085243557
reach,route_3,16.566955292938765
reach,route_4,22.285508604437943
reach,route_5,24.723972957338106
