experiment_tag,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,completed,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
0_0,20.679882856,8.605148060170198,1.7106728321954678,4.335716040066725,1.0527461544450851,True,0.3017295045505008,0.3023657315249093,0,0,0.0,0.4073021807836562,0.0899931909766132,0.1893200017784314,0.5473739821553223,0.8797962592906904,0.9661525192735952
0_1,20.819306025,8.557830697285752,1.759425025967663,3.4424016330818685,0.006939100947766508,True,0.2782494907616832,0.27883482013611866,1,0,0.49569776249999997,0.40364426324542046,0.08485550582752635,0.16490824145981123,2.158854210387818,1.1812389118342517,1.208856226891996
0_2,20.137342443999998,8.524449533648776,1.6136901991406738,3.0831073772557946,1.1520019507904822,True,0.29936055440783094,0.2996422964744747,0,0,0.5034335610999999,0.4172133064511723,0.08352205506623926,0.14002706119471017,0.44853517638336904,1.0522341734993053,1.0079574609031308
0_3,20.930111715000006,8.57481077510838,1.7363214505568352,3.117063615685907,1.1533364755839801,True,0.29908309204415146,0.2997805286047643,0,0,0.0,0.40150419142578303,0.09043915670027414,0.11405162703763619,0.344527005159584,1.0148314125264721,0.9434026743897032
0_4,21.057768419000002,8.536547252293303,1.7313561643335822,4.406219272514716,1.0798890908445629,True,0.23992942679963972,0.0,0,0,0.5013754385476191,0.3978287881782592,0.08558428620040817,0.27120230728680167,0.8104085715453847,0.9033908907618295,1.002084325734906
0_5,21.008071401,8.557389795813307,1.775337426007518,3.0728010343668433,1.198824074210456,True,0.2736421116675889,0.27440304286786243,0,0,0.5001921762142857,0.397828814700144,0.08278596799366222,0.31250092055091394,0.9585380986098313,1.035987999575742,0.9665086774270712
0_6,20.906493882000003,8.506759153461807,1.720540237844535,3.0376516138995746,1.18029313723021,True,0.27099954838651263,0.27161791740493135,0,0,0.49777366385714295,0.39782728489326774,0.09322880997682735,0.24682111430945886,1.0440398743324901,1.0019523080074013,0.9668814454884791
0_7,20.869727236,8.518532130770453,1.7353334598281651,4.267858620187708,1.090344001022695,True,0.28479527421037093,0.28542267273915695,0,0,0.0,0.39783766247374924,0.09616334501263572,0.11314058600330762,0.23927778725447513,0.8932348031467526,1.0062049361113459
0_8,20.849977727,8.534840662495066,1.7352544340226612,3.405792419315191,0.2027742982967986,True,0.2602963864564863,0.2608042533950925,0,0,0.4964280411190476,0.3978330507967632,0.08729915638161624,0.15891592793345496,0.5341800680255215,1.164939114084372,1.1985422126604894
0_9,20.759759847,8.548321574449213,1.7024526402397964,3.2918267190818824,0.47129095092056317,True,0.26591886164884226,0.2664728213143916,0,0,0.5063356060243903,0.4085530702857898,0.09155849693840429,0.03278815151266292,0.02098748643363662,1.1142695659685513,1.1091861408785029
0_10,20.827970880000002,8.5395269858322,1.6768672337313424,3.3891897811833513,0.25285940023706854,True,0.2534362124299808,0.254123046445596,0,0,0.0,0.40197208575068494,0.09310986141585138,0.032613316120250514,0.023987008692871948,1.1614399498529986,1.1688277879586222
0_11,20.740017453,8.583096736997383,1.643488434652868,3.0648441513056874,1.16384140454848,True,0.2824263937694572,0.28277162697556796,0,0,0.5058540842195122,0.41104102902975886,0.07746186385044578,0.14082225909317292,0.2996064992313409,1.0554077149015137,1.004770577973489
0_12,19.900283997,8.460362729295815,1.5997000466647289,3.3136435299989397,0.15630987313262634,True,0.30801892714808915,0.3082755133259861,0,0,0.497507099925,0.41705275054792196,0.08320226895213943,0.08980675362607975,0.2425837949346691,1.190881539244183,1.211915790643301
0_13,20.700071727,8.490791371124718,1.642808711138219,3.3740337099294995,0.46496695477074623,True,0.23094268821057282,0.0,0,0,0.5048797982195122,0.4060376008128151,0.08560500890977865,0.11477005199522008,0.23994101350010563,1.0851038411403475,1.0444434062454662
0_14,20.648145475,8.487426808447513,1.680842973967779,3.401467226930469,1.1883435078728934,True,0.2984795851769773,0.29897257571476454,0,0,0.5036133042682926,0.40729057872228097,0.08527509962453765,0.11204340296916986,0.3519102671358963,0.9876592263371603,0.9628348823530656
0_15,20.606744708999997,8.463874527741707,1.6543960395347477,3.272736083860359,0.8204431927684444,True,0.27430185579631594,0.27472721955506585,0,0,0.5026035294878048,0.4060386056149718,0.07965595518558197,0.11456923482551595,0.3595381692247282,1.099205215434213,1.0141343510885312
0_16,21.155899714999997,8.557187233386573,1.8145952280533844,3.3077692848387024,0.9029533253948832,True,0.26581399981803044,0.26640880326923566,0,0,0.0,0.40272524278706767,0.09159394611921075,0.0337220655322928,0.028728469443124127,1.1070165566445755,1.0774161767548427
0_17,20.719779439999993,8.504032552938073,1.653419095558231,3.2382025419074982,0.8314776650058902,True,0.31245032217035557,0.31245032217035557,0,0,0.49332808190476174,0.4002678635029105,0.08772734782731846,0.11534838917396475,0.24196279852652813,1.0932498469023946,1.0717633854501392
0_18,20.550018788,8.531359958405805,1.6738241676957193,3.1689404470140285,1.0100738623949337,True,0.29402350400648586,0.29452010270128814,0,0,0.5012199704390243,0.4102743724106165,0.08811126932373738,0.5426982019326712,1.2988426204183943,1.051207899170357,1.015530301095684
0_19,21.056967347,8.522302716158755,1.8148639902830896,3.369027827867527,0.8461098876599138,True,0.26440198378973107,0.26522336804706087,0,0,0.5013563654047619,0.39782366888496196,0.08428243675943951,0.21303032582098227,0.6750750900169807,1.0769284967232369,0.9779458364021958
0_20,20.630449787,8.49373394806331,1.6782662563895094,3.1818798630124427,0.896141592615618,True,0.30167025095517785,0.30219492876583237,0,0,0.5031817021219512,0.4060422930086594,0.086867006648057,0.11067272383879014,0.32749220823826514,1.0709786191221529,1.0331518061790674
0_21,20.67793647900001,8.524879439741934,1.6683071826910543,3.4283202521235685,0.34945997670666595,True,0.2934372862004679,0.29405653899966194,0,0,0.0,0.4102788011043338,0.08562717587828195,0.03323349258875547,0.02269745582945884,1.1275154683421404,1.2129994188463968
0_22,21.100068901999997,8.561495872345459,1.870808809383953,3.147027722454241,1.1377046515005707,True,0.2770619301785699,0.2775323408081264,0,0,0.0,0.40027963141686634,0.09554485289748584,0.20932659226325645,0.7279606117758469,1.0100850414480333,0.9896085498070719
0_23,20.430208075000003,8.566319882993508,1.6059442321190414,4.40341132299961,1.1485091814574182,True,0.32333680095296247,0.3238734062983416,0,0,0.49829775792682934,0.40713662181775917,0.08995772237271879,0.08801776810673376,0.24466871370242924,0.8934089702809864,0.982256454521445
0_24,20.120364555000005,8.47136002380788,1.5901361401357352,3.3275436208671367,0.19219038919580433,True,0.2815442267588799,0.2820137003638574,0,0,0.0,0.40761362776057075,0.0883370547672931,0.16145395996160888,0.5488612272017098,1.1170639675883227,1.1207813571462877
0_25,19.789987864999997,8.450556753774771,1.6208275684348656,3.3818979848826602,0.16584843897242318,True,0.2948280988505111,0.2950434729237451,0,0,0.0,0.41769859025490447,0.08703973538578971,0.03463779996683584,0.03382300240019044,1.2065476028946038,1.2387541765397312
0_26,20.303454047999995,8.483553808835216,1.610330976236682,4.188453203648965,1.2147785312125263,True,0.2746552999245727,0.2750286097529721,0,0,0.0,0.4073000192022049,0.08404856615986825,0.033621193656405424,0.02724809676897839,0.85909773196681,0.9739493279932906
0_27,20.699984384,8.505425044445147,1.6974731064543174,3.9824389096652637,1.1591520572856913,True,0.2679674995571977,0.26845715547116894,0,0,0.504877667902439,0.40901888813744364,0.08780796559771144,0.3621136855854235,0.7612440643809667,0.9234499238438115,0.9960521090372619
0_28,20.661630677999995,8.501234930559342,1.6234912545410136,3.2800751813504583,1.1980349165069746,True,0.2617857957661406,0.26233955599477277,0,0,0.5039422116585365,0.40603934752813314,0.07998142819201726,0.05762212231752011,0.1290331473943629,1.027862377913816,0.9780511845044036
0_29,20.771304121,8.546685407173493,1.7414986430376138,4.242396001256133,1.067514107016726,True,0.25364555010621226,0.25427883178204147,0,0,0.0,0.39906038614788764,0.0909841200767235,0.03293291189119901,0.021859217342114542,0.9521420137595924,1.056671893917847
